Codename,Name,Abbreviation,Type,Category,URL,Game,UseMaster,UseAssets,Release,Version,Stability,Size,Author,Readme
Baldurs-Gate-NPC-Voice-Pack-for-EE-2.6,Baldur's Gate NPC Voice Pack for EE 2.6,,minor,SOUND,https://github.com/GraionDilach/Baldurs-Gate-NPC-Voice-Pack-for-EE-2.6,BG1-BG2-IWD,,,2023-08-27,version-0.3.1,,51407743,GraionDilach,-
Baldurs-Gate-Voice-Pack-for-EE-2.6,Baldur's Gate Voice Pack for EE 2.6,,minor,SOUND,https://github.com/GraionDilach/Baldurs-Gate-Voice-Pack-for-EE-2.6,BG1-BG2-IWD,,,2023-05-21,version-1.1.0,,12500336,GraionDilach,-
HQ-SoundClips-BG2EE,HQ Sound Clips for BG2EE,,minor,SOUND,https://github.com/Argent77/HQ-SoundClips-BG2EE,BG2,,,2023-09-16,v1.3,,209079602,Argent77,-
Icewind-Dale-II-Voice-Pack-For-EE-2.6,Icewind Dale II Voice Pack for EE 2.6,,minor,SOUND,https://github.com/GraionDilach/Icewind-Dale-II-Voice-Pack-For-EE-2.6,BG1-BG2-IWD,,,2023-08-27,version-1.2.0,,14588102,GraionDilach,-
Icewind-Dale-Voice-Pack-For-EE-2.6,Icewind Dale Voice Pack for EE 2.6,,minor,SOUND,https://github.com/GraionDilach/Icewind-Dale-Voice-Pack-For-EE-2.6,BG1-BG2-IWD,,,2023-08-27,version-1.2.0,,29946119,GraionDilach,-
Infinity-Sounds,Infinity Sounds,,minor,SOUND,https://github.com/Spellhold-Studios/Infinity-Sounds,BG1-BG2-IWD,,,2025-07-09,v2.2,,43478952,"skellytz, Tash",https://spellhold-studios.github.io/readmes/infinity-sounds/readme-infinitysounds.html
JaheiraRecast,Jaheira Recast,,minor,SOUND,https://github.com/The-Gate-Project/JaheiraRecast,BG1-BG2,,,2024-07-09,3.2,,11831987,AstroBryGuy,-
Neverwinter-Nights-Voice-Pack-for-EE-2.6,Neverwinter Nights Voice Pack for EE 2.6,,minor,SOUND,https://github.com/GraionDilach/Neverwinter-Nights-Voice-Pack-for-EE-2.6,BG1-BG2-IWD,,,2024-12-20,version-0.5.0,,39365725,GraionDilach,-
SubtleD_Spell_Tweaks,SubtleD's Spell Tweaks,,compilation,SPELLS,https://github.com/subtledoctor/SubtleD_Spell_Tweaks,BG1-BG2-IWD,,,2025-10-03,2.9.1,,3173675,subtledoctor,-
Artisans-Shaman-Tweaks,Artisan's Shaman Tweaks,,minor,TWEAKS,https://github.com/TheArtisanBG/Artisans-Shaman-Tweaks,BG1-BG2-IWD,1,,2024-07-17,a442c97,,1179864,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/minimods
ForcedSlayerTransform,Forced Slayer Transform,,minor,TWEAKS,https://github.com/LCA-EET/ForcedSlayerTransform,BG2,,,2026-06-27,v1.0,,33279,LCAMod ,-
HoWMod,Heart of Winter Mod,,minor,TWEAKS,https://github.com/TheArtisanBG/HoWMod,IWD,1,,2024-12-25,7c87f9c,,1374305,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/minimods
A7-LevelUpTweaks,Level-Up Tweaks,,minor,TWEAKS,https://github.com/Argent77/A7-LevelUpTweaks,PST,,,2023-09-08,v2.7,,23243,Argent77,-
Bubbs-Spell-Menu-Extended,Bubb's Spell Menu Extended,,medium,UI,https://github.com/Bubb13/Bubbs-Spell-Menu-Extended,BG1-BG2-IWD,,,2026-05-11,v5.2,,1832164,Bubb,-
bg-eeex-buffbot,EEex Buffbot,,medium,UI,https://github.com/Chrizhermann/bg-eeex-buffbot,BG1-BG2-IWD,,,2026-07-19,v1.6.1-alpha,,11926479,Chrizhermann,-
EEUITweaks,EEUITweaks,,medium,UI,https://github.com/r-e-d/EEUITweaks,BG1-BG2-IWD,,,2024-09-15,v4.0.7,,27665862,lefreut,-
A7-HiddenGameplayOptions,Hidden Gameplay Options,,minor,UI,https://github.com/Argent77/A7-HiddenGameplayOptions,BG1-BG2-IWD-PST,,,2026-06-25,v5.1,,2003017,Argent77,-
A7-ResizeableCombatLog,Resizable Combat Log,,minor,UI,https://github.com/Argent77/A7-ResizeableCombatLog,PST,,,2023-09-08,v1.4,,27162,Argent77,-
